"title", "artist", "album"
"Palm Trees, Wi-Fi and Dream Sushi", "James Ferraro", "Far Side Virtual"
"Realdoll", "Eyeliner", "High Fashion Mood Music"
"Motor City", "Sand Circles", "Motor City"
"Dubplate 99", "Wolfgang Gartner", "Dubplate"
"Narcotic Influence I", "Empirion", "Advanced Technology"
"Halcyon", "Orbital", "Halcyon - The Platinum Collection"
"ambrosia コンパ - m a t r i x i s l a n d", "Pete Curry (FM Skyline)", "SoundCloud"
"Archangel", "Burial", "Untrue"
"PANTHERであ人で", "Dolf Bimmler", "神はセルビア人Bog​+​である"
"Labyrinth of Reflections", "x.y.r.", "Labirynth"
"Out Past Curfew", "Rangers", "Suburban Tours"
"Saterian Moon Breeze", "Legowelt", "Vaporware Tracks Vol 1."
"Night Raiders", "Unit Black Flight", "Escape from Indianapolis!"
"The Third Autumn", "Autumn", "Synthesize"
"feriado", "Jack_plug", "Calles_verticales"
"Architexture", "Akufen", "Groovetechnology V1.3 - Swayzak"
"Seeing Sense", "Luke Slater's 7th Plain", "The 4 Cornered Room"
"One Day We Will Trip Out From Star To Star", "Smackos", "A Vampire Goes West"
"Mono No Aware", "Hello Meteor", "Causality Violations"
"Smack My Bitch Up", "Prodigy", "The Fat of The Land"
"One Love", "Prodigy", "Music For The Jilted Generation"
"Voodoo People", "Prodigy", "Music For The Jilted Generation"
"Two Hearts - Original Mix", "Jowie Schulner", "Boombar Music"
"Acid Reign (Pinch's Dubplate Version)", "Pinch", "Fabriclive 61"
"Enjoy the Silence", "Trevor Something", "Trevor Something Does Not Exist"
"All Songs", "The Cancelled Earth", "Cities Last Broadcast"
"Love Will Tear Us Apart", "Joy Division", "Substance"
